grade	word	expected_image
1-1	I	i.png
1-1	me	me.png
1-1	a	a.png
1-1	please	please.png
1-1	Sunday	sunday.png
1-1	this	this.png
1-1	is	is.png
1-1	no	no.png
1-1	not	not.png
1-1	can	can.png
1-1	do	do.png
1-1	she	she.png
1-1	he	he.png
1-1	yes	yes.png
1-1	how many	how_many.png
1-1	let's	lets.png
1-1	at	at.png
1-1	the	the.png
1-1	May	may.png
1-1	moo	moo.png
1-1	that	that.png
1-1	peep	peep.png
1-1	oink	oink.png
1-1	quack	quack.png
1-2	stand up	stand_up.png
1-2	super	super.png
1-2	sweet	sweet.png
1-2	for	for.png
1-2	and	and.png
1-2	very much	very_much.png
1-2	need	need.png
1-2	don't	dont.png
1-2	lie	lie.png
1-2	run away	run_away.png
2-1	very well	very_well.png
2-1	no	no.png
2-1	yes	yes.png
2-1	ride a bicycle	ride_a_bicycle.png
2-1	can't	cant.png
2-1	has	has.png
2-1	the	the.png
2-1	look at	look_at.png
2-1	ready	ready.png
2-1	fly around	fly_around.png
2-1	run around	run_around.png
2-1	wow	wow.png
2-1	so	so.png
2-1	don't	dont.png
2-1	cry	cry.png
2-2	they	they.png
2-2	and	and.png
2-2	for	for.png
2-2	wow	wow.png
2-2	beside	beside.png
2-2	can't	cant.png
2-2	doing	doing.png
2-2	running	running.png
2-2	skating	skating.png
2-2	hopping	hopping.png
2-2	riding	riding.png
2-2	skipping	skipping.png
2-2	flying	flying.png
2-2	swimming	swimming.png
2-2	too	too.png
2-2	let's	lets.png
2-2	together	together.png
2-2	would like	would_like.png
2-2	some	some.png
2-2	sure	sure.png
2-2	don't	dont.png
2-2	fly a kite	fly_a_kite.png
2-2	sleeping	sleeping.png
2-2	stop	stop.png
2-2	woof	woof.png
2-2	play yo-yo	play_yo-yo.png
2-2	play cards	play_cards.png
2-2	play football	play_football.png
2-2	want to	want_to.png
2-2	little	little.png
3-1	I	i.png
3-1	Mr	mr.png
3-1	Mrs	mrs.png
3-1	fine	fine.png
3-1	no	no.png
3-1	not	not.png
3-1	yes	yes.png
3-1	is	is.png
3-1	he	he.png
3-1	this	this.png
3-1	she	she.png
3-1	me	me.png
3-1	please	please.png
3-1	late	late.png
3-1	look at	look_at.png
3-1	the	the.png
3-1	a	a.png
3-1	an	an.png
3-1	how much	how_much.png
3-1	they	they.png
3-1	it	it.png
3-1	these	these.png
3-1	how many	how_many.png
3-1	it's	it_s.png
3-2	and	and.png
3-2	sour	sour.png
3-2	sweet	sweet.png
3-2	can	can.png
3-2	our	our.png
3-2	fun	fun.png
3-2	lovely	lovely.png
3-2	some	some.png
3-2	too	too.png
3-2	we	we.png
3-2	paint	paint.png
3-2	at home	at_home.png
3-2	come in	come_in.png
3-2	dear	dear.png
3-2	for	for.png
3-2	how old	how_old.png
3-2	great	great.png
3-2	throw	throw.png
3-2	afraid of	afraid_of.png
3-2	little	little.png
3-2	very	very.png
