grade	word	meaning	category	expected_image
1-1	day	天，白天	time	day.png
1-1	me	我	pronoun	me.png
1-1	a	一个	article	a.png
1-1	please	请	phrase	please.png
1-1	ruler	尺子	school	ruler.png
1-1	pencil	铅笔	school	pencil.png
1-1	rubber	橡皮	school	rubber.png
1-1	on	在……上面	prep	on.png
1-1	Sunday	星期天	day	Sunday.png
1-1	this	这，这个	pronoun	this.png
1-1	is	是	verb	is.png
1-1	ear	耳朵	body	ear.png
1-1	touch	触摸	verb	touch.png
1-1	picture	图画，照片	noun	picture.png
1-1	look	看	verb	look.png
1-1	no	不	adv	no.png
1-1	not	不是，不	adv	not.png
1-1	can	能，会	verb	can.png
1-1	sing	唱歌	verb	sing.png
1-1	dance	跳舞	verb	dance.png
1-1	read	读	verb	read.png
1-1	draw	画画	verb	draw.png
1-1	do	做	verb	do.png
1-1	she	她	pronoun	she.png
1-1	grandmother	祖母，外祖母	family	grandmother.png
1-1	he	他	pronoun	he.png
1-1	grandfather	祖父，外祖父	family	grandfather.png
1-1	yes	是	adv	yes.png
1-1	tall	高的	adj	tall.png
1-1	short	矮的，短的	adj	short.png
1-1	fat	胖的	adj	fat.png
1-1	thin	瘦的，薄的	adj	thin.png
1-1	classmate	同学	person	classmate.png
1-1	how many	多少	phrase	how_many.png
1-1	let's	让我们	phrase	lets.png
1-1	count	数数	verb	count.png
1-1	pear	梨	food	pear.png
1-1	peach	桃子	food	peach.png
1-1	at	在	prep	at.png
1-1	the	这，那些	article	the.png
1-1	supermarket	超市	place	supermarket.png
1-1	May	可以	verb	may.png
1-1	have	有，吃	verb	have.png
1-1	pie	馅饼	food	pie.png
1-1	hamburger	汉堡包	food	hamburger.png
1-1	pizza	比萨	food	pizza.png
1-1	snack	点心	food	snack.png
1-1	bar	条	noun	bar.png
1-1	moo	哞	sound	moo.png
1-1	that	那个	pronoun	that.png
1-1	cow	奶牛	animal	cow.png
1-1	chick	小鸡	animal	chick.png
1-1	peep	啾啾	sound	peep.png
1-1	pig	猪	animal	pig.png
1-1	oink	哼哼	sound	oink.png
1-1	quack	嘎嘎	sound	quack.png
1-1	cut	剪，切	verb	cut.png
1-1	stick	粘贴	verb	stick.png
1-1	monkey	猴子	animal	monkey.png
1-1	bear	熊	animal	bear.png
1-1	panda	熊猫	animal	panda.png
1-1	tiger	老虎	animal	tiger.png
1-1	colour	颜色	noun	colour.png
