grade	word	expected_image
1-1	give	give.png
1-1	go	go.png
1-1	have	have.png
1-1	how	how.png
1-1	I	I.png
1-1	my	my.png
1-1	on	on.png
1-1	who	who.png
1-2	come	come.png
1-2	help	help.png
1-2	like	like.png
1-2	see	see.png
1-2	tell	tell.png
1-2	to	to.png
1-2	where	where.png
2-1	in	in.png
2-2	are	are.png
4-1	behind	behind.png
4-1	but	but.png
4-1	near	near.png
4-1	under	under.png
4-2	whose	whose.png
5-1	always	always.png
5-1	answer	answer.png
5-1	become	become.png
5-1	bring	bring.png
5-1	careful	careful.png
5-1	easy	easy.png
5-1	know	know.png
5-1	never	never.png
5-1	often	often.png
5-1	say	say.png
5-1	sometimes	sometimes.png
5-1	take	take.png
5-1	use	use.png
5-1	usually	usually.png
5-1	visit	visit.png
5-1	when	when.png
5-2	best	best.png
5-2	change	change.png
5-2	important	important.png
5-2	kind	kind.png
5-2	more	more.png
5-2	why	why.png
6-1	most	most.png
6-1	send	send.png
6-2	wish	wish.png
